epoch,recon_mse,lr
1,0.096020,3.60e-06
2,0.065579,5.20e-06
3,0.049837,6.80e-06
4,0.042030,8.40e-06
5,0.037053,1.00e-05
6,0.034040,1.00e-05
7,0.032291,1.00e-05
8,0.030931,1.00e-05
9,0.029903,1.00e-05
10,0.028967,1.00e-05
11,0.028156,1.00e-05
12,0.027394,1.00e-05
13,0.026649,1.00e-05
14,0.025956,1.00e-05
15,0.025330,1.00e-05
16,0.024752,1.00e-05
17,0.024176,1.00e-05
18,0.023726,1.00e-05
19,0.023110,1.00e-05
20,0.022592,1.00e-05
21,0.022117,1.00e-05
22,0.021754,1.00e-05
23,0.021299,1.00e-05
24,0.020888,1.00e-05
25,0.020496,1.00e-05
26,0.020102,1.00e-05
27,0.019729,1.00e-05
28,0.019380,1.00e-05
29,0.019086,1.00e-05
30,0.018754,1.00e-05
31,0.018435,1.00e-05
32,0.018204,1.00e-05
33,0.017880,1.00e-05
34,0.017598,9.99e-06
35,0.017341,9.99e-06
36,0.017066,9.99e-06
37,0.016878,9.99e-06
38,0.016615,9.99e-06
39,0.016340,9.99e-06
40,0.016103,9.99e-06
41,0.015874,9.99e-06
42,0.015728,9.99e-06
43,0.015579,9.99e-06
44,0.015270,9.99e-06
45,0.014991,9.99e-06
46,0.014892,9.99e-06
47,0.014716,9.99e-06
48,0.014453,9.99e-06
49,0.014296,9.99e-06
50,0.014115,9.99e-06
51,0.013916,9.99e-06
52,0.013781,9.99e-06
53,0.013655,9.99e-06
54,0.013439,9.99e-06
55,0.013315,9.98e-06
56,0.013119,9.98e-06
57,0.012980,9.98e-06
58,0.012858,9.98e-06
59,0.012777,9.98e-06
60,0.012617,9.98e-06
61,0.012452,9.98e-06
62,0.012335,9.98e-06
63,0.012171,9.98e-06
64,0.012017,9.98e-06
65,0.011875,9.98e-06
66,0.011824,9.98e-06
67,0.011648,9.98e-06
68,0.011543,9.98e-06
69,0.011419,9.97e-06
70,0.011351,9.97e-06
71,0.011195,9.97e-06
72,0.011171,9.97e-06
73,0.011155,9.97e-06
74,0.010910,9.97e-06
75,0.010846,9.97e-06
76,0.010799,9.97e-06
77,0.010642,9.97e-06
78,0.010565,9.97e-06
79,0.010439,9.97e-06
80,0.010322,9.97e-06
81,0.010270,9.96e-06
82,0.010185,9.96e-06
83,0.010076,9.96e-06
84,0.009983,9.96e-06
85,0.009930,9.96e-06
86,0.009852,9.96e-06
87,0.009796,9.96e-06
88,0.009705,9.96e-06
89,0.009603,9.96e-06
90,0.009581,9.96e-06
91,0.009444,9.95e-06
92,0.009425,9.95e-06
93,0.009335,9.95e-06
94,0.009276,9.95e-06
95,0.009175,9.95e-06
96,0.009090,9.95e-06
97,0.009044,9.95e-06
98,0.008973,9.95e-06
99,0.008965,9.95e-06
100,0.008884,9.94e-06
101,0.008821,9.94e-06
102,0.008741,9.94e-06
103,0.008698,9.94e-06
104,0.008678,9.94e-06
105,0.008598,9.94e-06
106,0.008529,9.94e-06
107,0.008494,9.94e-06
108,0.008435,9.93e-06
109,0.008400,9.93e-06
110,0.008332,9.93e-06
111,0.008257,9.93e-06
112,0.008204,9.93e-06
113,0.008175,9.93e-06
114,0.008163,9.93e-06
115,0.008076,9.93e-06
116,0.008007,9.92e-06
117,0.008032,9.92e-06
118,0.008014,9.92e-06
119,0.007918,9.92e-06
120,0.007839,9.92e-06
121,0.007787,9.92e-06
122,0.007748,9.92e-06
123,0.007734,9.91e-06
124,0.007674,9.91e-06
125,0.007633,9.91e-06
126,0.007568,9.91e-06
127,0.007535,9.91e-06
128,0.007517,9.91e-06
129,0.007477,9.90e-06
130,0.007403,9.90e-06
131,0.007394,9.90e-06
132,0.007360,9.90e-06
133,0.007350,9.90e-06
134,0.007361,9.90e-06
135,0.007320,9.90e-06
136,0.007250,9.89e-06
137,0.007241,9.89e-06
138,0.007195,9.89e-06
